Valid,Modified,Unmodified,District,Saeima,Party
49479,32295,17184,Rīga,11,1
63116,50114,13002,Vidzeme,11,1
11608,7802,3806,Latgale,11,1
21770,13704,8066,Kurzeme,11,1
26590,16207,10383,Zemgale,11,1
673,365,308,Rīga,11,2
649,302,347,Vidzeme,11,2
394,223,171,Latgale,11,2
347,173,174,Kurzeme,11,2
468,243,225,Zemgale,11,2
42977,20513,22464,Rīga,11,3
67051,42501,24550,Vidzeme,11,3
15787,8048,7739,Latgale,11,3
30749,11863,18886,Kurzeme,11,3
34292,12670,21622,Zemgale,11,3
521,228,293,Rīga,11,4
493,175,318,Vidzeme,11,4
248,93,155,Latgale,11,4
383,176,207,Kurzeme,11,4
348,131,217,Zemgale,11,4
8613,7009,1604,Rīga,11,5
5216,3062,2154,Vidzeme,11,5
3904,2831,1073,Latgale,11,5
1940,1195,745,Kurzeme,11,5
2458,1189,1269,Zemgale,11,5
118079,70230,47849,Rīga,11,6
42772,22052,20720,Vidzeme,11,6
60784,35919,24865,Latgale,11,6
15347,8792,6555,Kurzeme,11,6
22948,10974,11974,Zemgale,11,6
3126,1770,1356,Rīga,11,7
990,410,580,Vidzeme,11,7
1608,842,766,Latgale,11,7
434,255,179,Kurzeme,11,7
951,547,404,Zemgale,11,7
38086,21057,17029,Rīga,11,8
45613,31045,14568,Vidzeme,11,8
5350,2896,2454,Latgale,11,8
17499,9206,8293,Kurzeme,11,8
20660,11392,9268,Zemgale,11,8
751,282,469,Rīga,11,9
788,293,495,Vidzeme,11,9
497,267,230,Latgale,11,9
434,193,241,Kurzeme,11,9
411,165,246,Zemgale,11,9
1629,686,943,Rīga,11,10
1473,583,890,Vidzeme,11,10
340,126,214,Latgale,11,10
464,187,277,Kurzeme,11,10
565,242,323,Zemgale,11,10
17028,7738,9290,Rīga,11,11
31588,18134,13454,Vidzeme,11,11
14436,10638,3798,Latgale,11,11
27822,13430,14392,Kurzeme,11,11
21083,11192,9891,Zemgale,11,11
601,301,300,Rīga,11,12
757,357,400,Vidzeme,11,12
530,288,242,Latgale,11,12
279,103,176,Kurzeme,11,12
406,166,240,Zemgale,11,12
