"Nr","Saraksts","Saīsinājums","Rīga","Vidzeme","Latgale","Kurzeme","Zemgale","Kopā","Procenti","Vietas","Aploksnes"
1,"Apvienība “Tēvzemei un Brīvībai”/LNNK","TB/LNNK",16423,15170,5907,7563,8333,53396,5.366,7,995085
2,"Politisko organizāciju apvienība “Par cilvēka tiesībām vienotā Latvijā”","PCTVL",86801,22889,57707,8284,13407,189088,19.002,25,995085
3,"Sociāldemokrātiskā Labklājības partija","Labklājības partija",4915,2224,3487,734,1874,13234,1.33,0,995085
4,"Krievu partija","Krievu partija",1044,837,1917,276,650,4724,0.475,0,995085
5,"Latvijas Sociāldemokrātiskā strādnieku partija","LSDSP",10070,10029,7620,5472,6646,39837,4.003,0,995085
6,"Progresīvā CENTRISKĀ partija","Centriskā partija",411,411,188,88,131,1229,0.124,0,995085
7,"Jaunais laiks","JL",74799,73599,15076,36281,37697,237452,23.862,26,995085
8,"Tautas partija","TP",32354,57104,11575,34459,29754,165246,16.606,20,995085
9,"Latvijas Pirmā Partija","LPP",21783,27880,9560,18010,17519,94752,9.522,10,995085
10,"Latviešu partija","Latviešu partija",1354,1181,323,515,546,3919,0.394,0,995085
11,"Latvijas Atdzimšanas partija","Latvijas Atdzimšanas partija",532,822,381,305,518,2558,0.257,0,995085
12,"Brīvības partija","Brīvības partija",481,462,752,152,228,2075,0.209,0,995085
13,"Sociāldemokrātu savienība - SDS","Sociāldemokrātu savienība",2870,4614,2214,2543,2921,15162,1.524,0,995085
14,"Latvijas Apvienotā Republikāņu partija","Republikāņu partija",243,216,199,73,95,826,0.083,0,995085
15,"Savienība “Latvijas ceļš”","LC",12508,14051,8362,5778,7731,48430,4.867,0,995085
16,"Politiskā apvienība “Centrs”","Apvienība Centrs",1017,1514,1289,615,1384,5819,0.585,0,995085
17,"Partija “Mūsu zeme”","Mūsu zeme",316,458,174,178,223,1349,0.136,0,995085
18,"Latgales Gaisma","Latgales Gaisma",478,328,14745,79,318,15948,1.603,0,995085
19,"Māras zeme","Māras zeme",335,494,278,130,209,1446,0.145,0,995085
20,"Zaļo un Zemnieku savienība","ZZS",15892,30957,15081,14554,17275,93759,9.422,12,995085
,"Kopā",,284626,265240,156835,136089,147459,990249,99.514,100,995085
,"Deputātu skaits",,28,26,17,14,15,100,,,
